County_Name,State,FIPS,Median_Income,Poverty_Rate_Pct,Uninsured_Rate_Pct,Pct_Black,Pct_Hispanic,Diabetes_Rate,Hypertension_Rate,Mental_Health_Poor_Days,Preventive_Screening_Rate,Medicare_Spending_Per_Beneficiary,Equity_Gap_Score,Equity_Quartile,Primary_Driver
Allamakee,IA,19005,64049.0,11.35,1.45,1.72,7.45,11.45,35.7,17.1,63.95,9754.79,0.2483,2.0,Uninsured
Appanoose,IA,19007,50684.0,17.13,2.37,0.41,2.37,13.45,39.25,18.4,60.8,12055.53,0.3439,4.0,Hypertension
Audubon,IA,19009,54973.0,11.54,0.09,0.3,2.19,11.7,35.8,17.05,63.1,11960.07,0.2407,2.0,Hypertension
Benton,IA,19011,79444.0,8.14,0.32,0.42,1.72,9.85,33.15,16.4,65.8,9956.6,0.1766,1.0,Uninsured
Black Hawk,IA,19013,62329.0,15.12,0.41,9.77,4.74,11.2,33.15,17.0,69.45,10960.84,0.233,2.0,Poverty
Boone,IA,19015,75759.0,7.33,0.32,1.3,2.8,10.05,33.7,16.35,63.8,10501.26,0.1802,1.0,Uninsured
Bremer,IA,19017,84727.0,6.16,0.11,1.31,1.86,9.15,31.45,15.95,66.4,11149.28,0.1412,1.0,Uninsured
Buchanan,IA,19019,73493.0,8.55,2.54,0.78,1.85,10.0,33.05,16.6,65.6,11308.56,0.2023,1.0,Uninsured
Buena Vista,IA,19021,62662.0,6.72,0.87,2.93,26.94,12.35,32.95,16.6,58.1,10736.58,0.2164,2.0,Diabetes
Butler,IA,19023,65743.0,11.61,0.62,0.51,1.63,11.05,35.2,16.9,64.85,11542.84,0.2309,2.0,Hypertension
Calhoun,IA,19025,65614.0,8.41,0.45,1.15,2.18,10.95,33.95,16.700000000000003,60.25,13012.42,0.2036,1.0,Uninsured
Carroll,IA,19027,68041.0,7.66,0.18,1.17,3.01,10.65,34.0,16.700000000000003,64.0,10921.14,0.1927,1.0,Hypertension
Cass,IA,19029,60815.0,15.04,0.12,0.75,3.06,12.2,36.05,17.5,64.25,13050.13,0.2676,3.0,Poverty
Cedar,IA,19031,76959.0,7.67,0.74,0.49,2.41,10.55,33.4,16.8,64.9,9789.79,0.1922,1.0,Uninsured
